Name,Age,Sex,Size,Color,Characteristics,Coat Length,House Trained,Health,State,Email,Phone,Profile
Indigo,Young,Male,Small,Tabby (Tiger Striped),"Curious, Affectionate",,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/indigo-73806180/dc/washington/final-victory-animal-rescue-sc497/
Dylan,Kitten,Female,Small,Tabby (Leopard / Spotted),"Curious, Independent, Quiet, Playful",,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/dylan-73801978/dc/washington/final-victory-animal-rescue-sc497/
Whiskey,Kitten,Female,Small,Gray / Blue / Silver,,,Yes,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/whiskey-73801795/dc/washington/final-victory-animal-rescue-sc497/
Mittens,Senior,Male,Medium,Gray & White,"Gentle, Loves, Loyal, Playful, Couch, Brave, Affectionate",Short,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/mittens-73787844/dc/washington/final-victory-animal-rescue-sc497/
Stratus,Adult,Male,Medium,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/stratus-73775902/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Panther,Adult,Male,Medium,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/panther-73775904/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Envy,Young,Female,Medium,Black & White / Tuxedo,"Athletic, Funny, Smart, Loyal, Playful, Loves, Curious, Affectionate",Short,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/envy-73775236/dc/washington/final-victory-animal-rescue-sc497/
Mindy,Adult,Female,Medium,Tabby (Brown / Chocolate),"Affectionate, Loves, Loyal, Playful, Gentle",,,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/mindy-73774788/dc/washington/final-victory-animal-rescue-sc497/
Quinn,Young,Female,Medium,Black & White / Tuxedo,"Array, Curious",,,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/quinn-73774561/dc/washington/final-victory-animal-rescue-sc497/
Spicy,Kitten,Female,Small,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/spicy-73756630/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Alex,Kitten,Female,Small,Black & White / Tuxedo,"Curious, Brave, Independent",,Yes,,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/alex-73743963/dc/washington/final-victory-animal-rescue-sc497/
Bruce,Young,Male,Small,Black,"Affectionate, Curious",,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/bruce-73741934/dc/washington/final-victory-animal-rescue-sc497/
Selina,Young,Female,Small,Black,Affectionate,,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/selina-73741788/dc/washington/final-victory-animal-rescue-sc497/
Man Man,Young,Male,Small,Cream / Ivory,Affectionate,,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/man-man-73741031/dc/washington/final-victory-animal-rescue-sc497/
Cornelius,Kitten,Male,Small,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/cornelius-73739085/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Gizmo,Kitten,Male,Small,Gray & White,Curious,,Yes,,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/gizmo-73736221/dc/washington/final-victory-animal-rescue-sc497/
Syrup,Kitten,Female,Small,Dilute Calico,"Friendly, Curious",,Yes,,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/syrup-73731566/dc/washington/final-victory-animal-rescue-sc497/
Tupac Shapurr,Young,Male,Medium,Black & White / Tuxedo,"Funny, Playful",Short,Yes,,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/tupac-shapurr-73730687/dc/washington/final-victory-animal-rescue-sc497/
Pumpkin Pie,Kitten,Male,Medium,,,,,,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/pumpkin-pie-73706098/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Glen Coco,Young,Female,Medium,,,,,,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/glen-coco-73694231/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Mya,Adult,Female,Small,,,,,,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/mya-73688742/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Spider,Adult,Female,Medium,Black,"Affectionate, Funny, Playful, Loyal, Curious, Gentle, Smart",Short,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/spider-73684657/dc/washington/final-victory-animal-rescue-sc497/
Lenore,Adult,Female,Small,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/lenore-73643442/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Giroux,Adult,Male,Extra Large,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/giroux-73591845/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Bananas,Young,Female,Small,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/bananas-73591849/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Durango,Young,Female,Medium,,"Affectionate, Gentle, Smart, Quiet, Brave",Short,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/durango-73588999/dc/washington/final-victory-animal-rescue-sc497/
Rita,Adult,Female,Medium,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/rita-73563657/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Barcode,Adult,Female,Medium,Black & White / Tuxedo,"Couch, Brave, Gentle, Quiet, Smart",Short,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/barcode-73548396/dc/washington/final-victory-animal-rescue-sc497/
Babka,Adult,Female,Medium,Black & White / Tuxedo,"Gentle, Quiet, Couch, Loves",Short,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/babka-73548334/dc/washington/final-victory-animal-rescue-sc497/
Blueberry,Adult,Male,Medium,Gray & White,"Affectionate, Gentle, Smart, Quiet, Brave, Couch",Short,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/blueberry-73547998/dc/washington/final-victory-animal-rescue-sc497/
Briscoe,Adult,Male,Medium,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/briscoe-73459866/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Pops,Adult,Male,Medium,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/pops-73417551/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Seggy P,Kitten,Male,Medium,,Array,,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/seggy-p-73169825/dc/washington/final-victory-animal-rescue-sc497/
Sienna,Young,Female,Small,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/sienna-73154418/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Astra,Young,Female,Small,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/astra-73154419/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Funyon,Young,Female,Medium,Brown / Chocolate,Array,,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/funyon-73102218/dc/washington/final-victory-animal-rescue-sc497/
Sigma,Kitten,Male,Medium,Cream / Ivory,Array,,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/sigma-72965211/dc/washington/final-victory-animal-rescue-sc497/
Eclipse,Young,Male,Medium,Black,Array,,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/eclipse-72770291/dc/washington/final-victory-animal-rescue-sc497/
Augustine,Adult,Male,Medium,,,,,"Spayed / neutered, declawed.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/augustine-72721103/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Elvira,Kitten,Female,Medium,Black,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/elvira-73836881/dc/washington/lucky-dog-animal-rescue-dc20/
Eggo,Kitten,Female,Medium,Black,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/eggo-73836880/dc/washington/lucky-dog-animal-rescue-dc20/
Enid,Kitten,Female,Medium,Black,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/enid-73836877/dc/washington/lucky-dog-animal-rescue-dc20/
Elma,Kitten,Female,Medium,Black,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/elma-73836879/dc/washington/lucky-dog-animal-rescue-dc20/
Ernie,Kitten,Male,Medium,Black,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/ernie-73836878/dc/washington/lucky-dog-animal-rescue-dc20/
Snow White,Adult,Female,Medium,White,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/snow-white-73823011/dc/washington/lucky-dog-animal-rescue-dc20/
Maximus,Young,Male,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/maximus-73823012/dc/washington/lucky-dog-animal-rescue-dc20/
Temperance,Kitten,Female,Small,Gray / Blue / Silver,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/temperance-73793808/dc/washington/lucky-dog-animal-rescue-dc20/
Tommy Booth,Kitten,Male,Small,Gray / Blue / Silver,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/tommy-booth-73793807/dc/washington/lucky-dog-animal-rescue-dc20/
Revlon,Young,Female,Medium,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/revlon-73781372/dc/washington/lucky-dog-animal-rescue-dc20/
Cheeto,Kitten,Female,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/cheeto-73781370/dc/washington/lucky-dog-animal-rescue-dc20/
Berry,Kitten,Female,Medium,Black,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/berry-73773980/dc/washington/lucky-dog-animal-rescue-dc20/
Basil,Kitten,Female,Medium,Black & White / Tuxedo,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/basil-73773979/dc/washington/lucky-dog-animal-rescue-dc20/
Bea,Kitten,Female,Medium,Black & White / Tuxedo,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/bea-73773982/dc/washington/lucky-dog-animal-rescue-dc20/
Benny,Kitten,Male,Medium,Black & White / Tuxedo,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/benny-73773978/dc/washington/lucky-dog-animal-rescue-dc20/
Dan Humphrey,Kitten,Male,Medium,Orange & White,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/dan-humphrey-73771975/dc/washington/lucky-dog-animal-rescue-dc20/
Norwegian Wood,Kitten,Male,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/norwegian-wood-73771973/dc/washington/lucky-dog-animal-rescue-dc20/
Norway,Kitten,Male,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/norway-73771974/dc/washington/lucky-dog-animal-rescue-dc20/
Excavator,Kitten,Female,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/excavator-73771972/dc/washington/lucky-dog-animal-rescue-dc20/
Lentil,Kitten,Female,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/lentil-73771971/dc/washington/lucky-dog-animal-rescue-dc20/
Johnny Whippet,Kitten,Male,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/johnny-whippet-73745972/dc/washington/lucky-dog-animal-rescue-dc20/
Star,Young,Female,Medium,White,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/star-73745975/dc/washington/lucky-dog-animal-rescue-dc20/
Jack Russell,Kitten,Male,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/jack-russell-73745970/dc/washington/lucky-dog-animal-rescue-dc20/
Ken,Kitten,Male,Medium,Orange & White,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/ken-73745971/dc/washington/lucky-dog-animal-rescue-dc20/
Victor,Kitten,Male,Medium,Black,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/victor-73731484/dc/washington/lucky-dog-animal-rescue-dc20/
Venn,Kitten,Male,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/venn-73731487/dc/washington/lucky-dog-animal-rescue-dc20/
Earthworm,Kitten,Male,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/earthworm-73731485/dc/washington/lucky-dog-animal-rescue-dc20/
Lil Royal,Kitten,Male,Medium,Gray / Blue / Silver,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/lil-royal-73731465/dc/washington/lucky-dog-animal-rescue-dc20/
Blossom,Kitten,Female,Medium,,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/blossom-73731482/dc/washington/lucky-dog-animal-rescue-dc20/
Payton,Kitten,Female,Medium,,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/payton-73731489/dc/washington/lucky-dog-animal-rescue-dc20/
Stetson,Kitten,Male,Medium,Orange / Red,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/stetson-73731483/dc/washington/lucky-dog-animal-rescue-dc20/
Peter Pan,Kitten,Male,Medium,,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/peter-pan-73731486/dc/washington/lucky-dog-animal-rescue-dc20/
Bada-Bing,Kitten,Male,Medium,Orange / Red,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/bada-bing-73731466/dc/washington/lucky-dog-animal-rescue-dc20/
Murdock,Kitten,Male,Medium,,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/murdock-73731467/dc/washington/lucky-dog-animal-rescue-dc20/
Habiba,Kitten,Female,Medium,Black & White / Tuxedo,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/habiba-73731479/dc/washington/lucky-dog-animal-rescue-dc20/
Almond Joy,Kitten,Male,Medium,Black & White / Tuxedo,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/almond-joy-73731463/dc/washington/lucky-dog-animal-rescue-dc20/
Monkey,Kitten,Male,Medium,,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/monkey-73731464/dc/washington/lucky-dog-animal-rescue-dc20/
Anand,Kitten,Male,Medium,Orange / Red,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/anand-73731481/dc/washington/lucky-dog-animal-rescue-dc20/
Mamie,Kitten,Female,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/mamie-73731477/dc/washington/lucky-dog-animal-rescue-dc20/
Santiago,Kitten,Male,Medium,Orange / Red,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/santiago-73731461/dc/washington/lucky-dog-animal-rescue-dc20/
Mac,Kitten,Male,Medium,,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/mac-73731460/dc/washington/lucky-dog-animal-rescue-dc20/
Aashvi,Kitten,Female,Medium,,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/aashvi-73731476/dc/washington/lucky-dog-animal-rescue-dc20/
Penni,Kitten,Female,Medium,,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/penni-73731471/dc/washington/lucky-dog-animal-rescue-dc20/
Veni,Kitten,Male,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/veni-73731470/dc/washington/lucky-dog-animal-rescue-dc20/
Spongebob,Kitten,Male,Small,Gray / Blue / Silver,,,,,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/spongebob-73731459/dc/washington/lucky-dog-animal-rescue-dc20/
Matilda,Kitten,Female,Medium,,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/matilda-73731473/dc/washington/lucky-dog-animal-rescue-dc20/
Frank,Young,Male,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/frank-73726694/dc/washington/lucky-dog-animal-rescue-dc20/
Junior,Kitten,Male,Small,Black,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/junior-73659437/dc/washington/lucky-dog-animal-rescue-dc20/
Jumper,Kitten,Male,Small,Black & White / Tuxedo,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/jumper-73659436/dc/washington/lucky-dog-animal-rescue-dc20/
Jason,Kitten,Male,Small,Black,,,,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/jason-73659435/dc/washington/lucky-dog-animal-rescue-dc20/
Magnolia,Kitten,Female,Small,,,,,,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/magnolia-73645963/dc/washington/lucky-dog-animal-rescue-dc20/
Gracie,Adult,Female,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/gracie-73645944/dc/washington/lucky-dog-animal-rescue-dc20/
Hibiscus,Adult,Female,Medium,Black,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/hibiscus-73645951/dc/washington/lucky-dog-animal-rescue-dc20/
Opal,Young,Female,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/opal-73645954/dc/washington/lucky-dog-animal-rescue-dc20/
Olive,Young,Female,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/olive-73645956/dc/washington/lucky-dog-animal-rescue-dc20/
Opal,Young,Female,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/opal-73645954/dc/washington/lucky-dog-animal-rescue-dc20/
Olive,Young,Female,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/olive-73645956/dc/washington/lucky-dog-animal-rescue-dc20/
Leslee,Kitten,Female,Medium,Orange & White,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/leslee-73645957/dc/washington/lucky-dog-animal-rescue-dc20/
Lil Sylvia,Kitten,Female,Medium,Black & White / Tuxedo,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/lil-sylvia-73645960/dc/washington/lucky-dog-animal-rescue-dc20/
Lil Curtsy,Kitten,Female,Medium,Gray & White,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/lil-curtsy-73645958/dc/washington/lucky-dog-animal-rescue-dc20/
Everything Spice,Kitten,Female,Medium,,,,,"Vaccinations up to date, spayed / neutered.","Washington, DC",,+17039696859,https://www.petfinder.com/cat/everything-spice-73645955/dc/washington/lucky-dog-animal-rescue-dc20/
